Object Name,Attribute Name
AccountTeamMember,SystemModstamp
fferpcore__UserInformation__c,Id
fferpcore__UserInformation__c,IsDeleted
fferpcore__UserInformation__c,Name
fferpcore__UserInformation__c,CurrencyIsoCode
fferpcore__UserInformation__c,CreatedDate
fferpcore__UserInformation__c,CreatedById
fferpcore__UserInformation__c,LastModifiedDate
fferpcore__UserInformation__c,LastModifiedById
fferpcore__UserInformation__c,SystemModstamp
fferpcore__UserInformation__c,LastViewedDate
fferpcore__UserInformation__c,LastReferencedDate
Account_Plan_Contact_Role__c,Id
Account_Plan_Contact_Role__c,IsDeleted
Account_Plan_Contact_Role__c,Name
Account_Plan_Contact_Role__c,CurrencyIsoCode
Account_Plan_Contact_Role__c,CreatedDate
Account_Plan_Contact_Role__c,CreatedById
Account_Plan_Contact_Role__c,LastModifiedDate
Account_Plan_Contact_Role__c,LastModifiedById
Account_Plan_Contact_Role__c,SystemModstamp
LeanData__LD_Long_Log__Share,Id
LeanData__LD_Long_Log__Share,IsDeleted
LeanData__LD_Long_Log__Share,LastModifiedDate
LeanData__LD_Long_Log__Share,LastModifiedById
LeanData__LD_Long_Log__Share,ParentId
LeanData__LD_Long_Log__Share,UserOrGroupId
LeanData__LD_Long_Log__Share,AccessLevel
LeanData__LD_Long_Log__Share,RowCause
pse__Team_Schedule__c,Id
pse__Team_Schedule__c,IsDeleted
pse__Team_Schedule__c,Name
pse__Team_Schedule__c,CurrencyIsoCode
pse__Team_Schedule__c,CreatedDate
pse__Team_Schedule__c,CreatedById
pse__Team_Schedule__c,LastModifiedDate
pse__Team_Schedule__c,LastModifiedById
pse__Team_Schedule__c,SystemModstamp
LeanData__LD_Partner_Callout__Share,Id
LeanData__LD_Partner_Callout__Share,IsDeleted
LeanData__LD_Partner_Callout__Share,LastModifiedDate
LeanData__LD_Partner_Callout__Share,LastModifiedById
LeanData__LD_Partner_Callout__Share,ParentId
LeanData__LD_Partner_Callout__Share,UserOrGroupId
LeanData__LD_Partner_Callout__Share,AccessLevel
LeanData__LD_Partner_Callout__Share,RowCause
Collection__c,Id
Collection__c,IsDeleted
Collection__c,Name
Collection__c,CurrencyIsoCode
Collection__c,CreatedDate
Collection__c,CreatedById
Collection__c,LastModifiedDate
Collection__c,LastModifiedById
Collection__c,SystemModstamp
Collection__c,LastViewedDate
Collection__c,LastReferencedDate
pse__Transaction_Delta__c,Id
pse__Transaction_Delta__c,IsDeleted
pse__Transaction_Delta__c,Name
pse__Transaction_Delta__c,CurrencyIsoCode
pse__Transaction_Delta__c,CreatedDate
pse__Transaction_Delta__c,CreatedById
pse__Transaction_Delta__c,LastModifiedDate
pse__Transaction_Delta__c,LastModifiedById
pse__Transaction_Delta__c,SystemModstamp
pse__Transaction_Delta__c,LastViewedDate
pse__Transaction_Delta__c,LastReferencedDate
Sales_Invoice__c,Id
Sales_Invoice__c,IsDeleted
Sales_Invoice__c,Name
Sales_Invoice__c,CurrencyIsoCode
Sales_Invoice__c,CreatedDate
Sales_Invoice__c,CreatedById
Sales_Invoice__c,LastModifiedDate
Sales_Invoice__c,LastModifiedById
Sales_Invoice__c,SystemModstamp
Sales_Invoice__c,LastViewedDate
Sales_Invoice__c,LastReferencedDate
Lightning__DataCategorySelection,Id
Lightning__DataCategorySelection,IsDeleted
Lightning__DataCategorySelection,CreatedDate
Lightning__DataCategorySelection,CreatedById
Lightning__DataCategorySelection,SystemModstamp
Lightning__DataCategorySelection,ParentId
ffrr__RecognitionViewValue__c,Id
ffrr__RecognitionViewValue__c,IsDeleted
ffrr__RecognitionViewValue__c,Name
ffrr__RecognitionViewValue__c,CurrencyIsoCode
ffrr__RecognitionViewValue__c,CreatedDate
ffrr__RecognitionViewValue__c,CreatedById
ffrr__RecognitionViewValue__c,LastModifiedDate
ffrr__RecognitionViewValue__c,LastModifiedById
ffrr__RecognitionViewValue__c,SystemModstamp
Internal_Referral__c,Id
Internal_Referral__c,IsDeleted
Internal_Referral__c,Name
Internal_Referral__c,CurrencyIsoCode
Internal_Referral__c,CreatedDate
